TF_name	TSS	Binding_site	Action type	SRAID_PMID	Evidence	Tissue	Species
ERG	chr19: 13836659	chr19: 13835766-13836149(score=1000)	Regulation	SRX026639	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13835779-13836038(score=981)	Regulation	SRX1514277	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13835782-13836025(score=1000)	Regulation	SRX682376	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13835841-13836006(score=527)	Regulation	SRX026638	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836878-13837205(score=1000)	Regulation	SRX026639	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836912-13837190(score=996)	Regulation	SRX1514277	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836925-13837229(score=1000)	Regulation	SRX682375	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836936-13837182(score=881)	Regulation	SRX265230	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836936-13837183(score=1000)	Regulation	SRX682376	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836942-13837189(score=1000)	Regulation	SRX026638	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13839034-13839333(score=1000)	Regulation	SRX682375	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13839049-13839380(score=1000)	Regulation	SRX026639	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13839065-13839326(score=1000)	Regulation	SRX265230	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13839089-13839319(score=972)	Regulation	SRX682376	level 1	Blood	H.sapiens
ERG	chr19: 13836659	chr19: 13836966-13837121(score=473)	Regulation	SRX2355058	level 1	Cardiovascular	H.sapiens
ESR1	chr19: 13836659	chr19: 13835712-13835940(score=679)	Regulation(feedback)	SRX036635	level 1	Bone	H.sapiens
ESR1	chr19: 13836659	chr19: 13835659-13835992(score=1000)	Regulation(feedback)	SRX1012629	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835668-13836007(score=1000)	Regulation(feedback)	SRX371471	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835676-13835957(score=1000)	Regulation(feedback)	SRX1012630	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835678-13835974(score=1000)	Regulation(feedback)	SRX3110720	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835679-13835993(score=1000)	Regulation(feedback)	SRX3110723	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835682-13835948(score=1000)	Regulation(feedback)	SRX2513520	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835682-13835986(score=1000)	Regulation(feedback)	SRX194575	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835683-13835958(score=1000)	Regulation(feedback)	SRX176861	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835685-13835951(score=1000)	Regulation(feedback)	SRX371469	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835686-13835959(score=812)	Regulation(feedback)	SRX1012627	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835686-13835970(score=1000)	Regulation(feedback)	SRX1531791	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835688-13835981(score=1000)	Regulation(feedback)	SRX330069	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835689-13835933(score=877)	Regulation(feedback)	SRX2513518	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835693-13835991(score=1000)	Regulation(feedback)	SRX330068	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835694-13835961(score=1000)	Regulation(feedback)	SRX194569	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835698-13835962(score=1000)	Regulation(feedback)	SRX371467	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835699-13835984(score=1000)	Regulation(feedback)	SRX371470	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835699-13835993(score=828)	Regulation(feedback)	SRX1161186	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835700-13835956(score=1000)	Regulation(feedback)	SRX2513517	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835701-13835936(score=949)	Regulation(feedback)	SRX2513519	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835701-13835959(score=706)	Regulation(feedback)	SRX2513525	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835703-13835968(score=878)	Regulation(feedback)	SRX1012626	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835704-13835940(score=1000)	Regulation(feedback)	SRX176860	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835704-13835971(score=876)	Regulation(feedback)	SRX968963	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835708-13835987(score=1000)	Regulation(feedback)	SRX330070	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835710-13835932(score=875)	Regulation(feedback)	SRX176859	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835710-13835984(score=1000)	Regulation(feedback)	SRX1161185	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835715-13835943(score=1000)	Regulation(feedback)	SRX176857	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835715-13835971(score=1000)	Regulation(feedback)	SRX371475	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835716-13835908(score=709)	Regulation(feedback)	SRX194572	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835716-13835910(score=711)	Regulation(feedback)	SRX371468	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835719-13835957(score=762)	Regulation(feedback)	SRX1012747	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835723-13835933(score=762)	Regulation(feedback)	SRX371479	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835723-13835962(score=754)	Regulation(feedback)	SRX3110724	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835724-13835950(score=742)	Regulation(feedback)	SRX107369	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835725-13835928(score=632)	Regulation(feedback)	SRX1116525	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835726-13835958(score=1000)	Regulation(feedback)	SRX371474	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835727-13835928(score=759)	Regulation(feedback)	SRX176856	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835727-13835953(score=818)	Regulation(feedback)	SRX2513523	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835728-13835926(score=571)	Regulation(feedback)	SRX1116524	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835732-13835954(score=840)	Regulation(feedback)	SRX323399	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835733-13835945(score=674)	Regulation(feedback)	SRX1531796	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835733-13835948(score=692)	Regulation(feedback)	SRX730450	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835736-13835942(score=1000)	Regulation(feedback)	SRX792933	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835737-13835918(score=551)	Regulation(feedback)	SRX2513521	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835737-13835947(score=755)	Regulation(feedback)	SRX371478	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835738-13835919(score=828)	Regulation(feedback)	SRX176858	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835738-13835944(score=712)	Regulation(feedback)	SRX1012750	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835742-13835893(score=384)	Regulation(feedback)	SRX3110740	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835743-13835912(score=733)	Regulation(feedback)	SRX261274	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835743-13835912(score=753)	Regulation(feedback)	SRX730426	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835751-13835932(score=712)	Regulation(feedback)	SRX3110738	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835751-13835943(score=532)	Regulation(feedback)	SRX1961156	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835752-13835898(score=359)	Regulation(feedback)	SRX3110730	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835753-13835907(score=514)	Regulation(feedback)	SRX747801	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835755-13835911(score=562)	Regulation(feedback)	SRX371476	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835755-13835922(score=437)	Regulation(feedback)	SRX730451	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835758-13835919(score=388)	Regulation(feedback)	SRX1012749	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835758-13835930(score=438)	Regulation(feedback)	SRX968967	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835764-13835915(score=539)	Regulation(feedback)	SRX673753	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835766-13835927(score=477)	Regulation(feedback)	SRX371473	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835769-13835939(score=684)	Regulation(feedback)	SRX968964	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835772-13835899(score=368)	Regulation(feedback)	SRX026530	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835774-13835934(score=556)	Regulation(feedback)	SRX1961162	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835780-13835924(score=596)	Regulation(feedback)	SRX003938	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835782-13835927(score=595)	Regulation(feedback)	SRX792932	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835794-13835952(score=384)	Regulation(feedback)	SRX1961161	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13840527-13840661(score=452)	Regulation(feedback)	SRX176861	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13840528-13840678(score=396)	Regulation(feedback)	SRX1531796	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13840559-13840663(score=420)	Regulation(feedback)	SRX176860	level 1	Breast	H.sapiens
ESR1	chr19: 13836659	chr19: 13835719-13835999(score=928)	Regulation(feedback)	SRX1745738	level 1	Uterus	H.sapiens
ESRRA	chr19: 13836659	chr19: 13840646-13841041(score=479)	Regulation	SRX1473610	level 1	Breast	H.sapiens
ETS1	chr19: 13836659	chr19: 13836888-13837219(score=1000)	Regulation	SRX373733	level 1	Blood	H.sapiens
ETS1	chr19: 13836659	chr19: 13836949-13837168(score=421)	Regulation	SRX212441	level 1	Blood	H.sapiens
ETS1	chr19: 13836659	chr19: 13836953-13837147(score=510)	Regulation	SRX212439	level 1	Blood	H.sapiens
ETS1	chr19: 13836659	chr19: 13836938-13837111(score=452)	Regulation	SRX189743	level 1	Cardiovascular	H.sapiens
ETS1	chr19: 13836659	chr19: 13836938-13837111(score=454)	Regulation	SRX2452430	level 1	Cardiovascular	H.sapiens
EZH2	_	_	Repression(feedback)	25648270	literature	_	H.sapiens
FLI1	chr19: 13836659	chr19: 13835750-13836188(score=1000)	Regulation	SRX026640	level 1	Blood	H.sapiens
FLI1	chr19: 13836659	chr19: 13835807-13836024(score=556)	Regulation	SRX1514276	level 1	Blood	H.sapiens
FLI1	chr19: 13836659	chr19: 13836753-13837241(score=1000)	Regulation	SRX026640	level 1	Blood	H.sapiens
FLI1	chr19: 13836659	chr19: 13836937-13837151(score=650)	Regulation	SRX1514276	level 1	Blood	H.sapiens
FLI1	chr19: 13836659	chr19: 13838984-13839589(score=1000)	Regulation	SRX026640	level 1	Blood	H.sapiens
FOS	chr19: 13836659	chr19: 13836946-13837134(score=444)	Regulation	SRX150664	level 1	Cardiovascular	H.sapiens
FOS	chr19: 13836659	chr19: 13839983-13840180(score=445)	Regulation	SRX150664	level 1	Cardiovascular	H.sapiens
FOS	_	_	Activation	23929433	literature	_	H.sapiens
FOSL1	chr19: 13836659	chr19: 13840579-13840745(score=447)	Regulation(feedback)	SRX190212	level 1	Digestive tract	H.sapiens
FOSL2	chr19: 13836659	chr19: 13840559-13840702(score=524)	Regulation	SRX190224	level 1	Breast	H.sapiens
FOXA1	chr19: 13836659	chr19: 13841517-13841657(score=411)	Regulation(feedback)	SRX250093	level 1	Breast	H.sapiens
FOXO1	chr19: 13836659	chr19: 13836937-13837200(score=1000)	Regulation	SRX1735651	level 1	Blood	H.sapiens
FOXO1	chr19: 13836659	chr19: 13839610-13839914(score=442)	Regulation	SRX1735651	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13836888-13837169(score=1000)	Regulation	SRX326887	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13836911-13837144(score=1000)	Regulation	SRX326888	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13836949-13837088(score=413)	Regulation	SRX475757	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13836958-13837098(score=395)	Regulation	SRX475759	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13836976-13837093(score=433)	Regulation	SRX475743	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13839078-13839308(score=940)	Regulation	SRX100569	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13839100-13839299(score=551)	Regulation	SRX475759	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13839106-13839302(score=677)	Regulation	SRX475757	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13839154-13839286(score=564)	Regulation	SRX475743	level 1	Blood	H.sapiens
GABPA	chr19: 13836659	chr19: 13839096-13839329(score=551)	Regulation	SRX718139	level 1	Bone	H.sapiens
GABPA	chr19: 13836659	chr19: 13836966-13837117(score=870)	Regulation	SRX190195	level 1	Neural	H.sapiens
GABPA	chr19: 13836659	chr19: 13839128-13839275(score=681)	Regulation	SRX190195	level 1	Neural	H.sapiens
GATA1	chr19: 13836659	chr19: 13840583-13840667(score=331)	Regulation	SRX218418	level 1	Blood	H.sapiens
GATA1	_	_	Activation	23420868	literature	_	H.sapiens
GATA1	_	_	Activation	24049083	literature	_	H.sapiens
GATA2	chr19: 13836659	chr19: 13835808-13835980(score=430)	Regulation	SRX2574235	level 1	Blood	H.sapiens
GATA2	_	_	Repression	24049083	literature	_	H.sapiens
GATA3	chr19: 13836659	chr19: 13836986-13837168(score=549)	Regulation	SRX092314	level 1	Blood	H.sapiens
GATA3	chr19: 13836659	chr19: 13836944-13837117(score=610)	Regulation	SRX190194	level 1	Neural	H.sapiens
GATA3	chr19: 13836659	chr19: 13839566-13839878(score=455)	Regulation	SRX190194	level 1	Neural	H.sapiens
GTF2B	chr19: 13842918	chr19: 13842846-13843025(score=684)	Regulation	SRX1136649	level 2	Uterus	H.sapiens
GTF2B	chr19: 13842918	chr19: 13842890-13843009(score=335)	Regulation	SRX1136653	level 2	Uterus	H.sapiens
GTF2I	chr19: 13836659	chr19: 13835945-13836888(score=1000)	Regulation	SRX753138	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836018-13836835(score=1000)	Regulation	SRX753137	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836028-13836808(score=1000)	Regulation	SRX753139	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836098-13836749(score=756)	Regulation	SRX753136	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836237-13836745(score=594)	Regulation	SRX753142	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836263-13836613(score=377)	Regulation	SRX753141	level 1	Pluripotent stem cell	H.sapiens
GTF2I	chr19: 13836659	chr19: 13836291-13836629(score=348)	Regulation	SRX753143	level 1	Pluripotent stem cell	H.sapiens
HAND2	chr19: 13836659	chr19: 13839686-13839989(score=1000)	Regulation	SRX2911578	level 1	Neural	H.sapiens
HEY1	chr19: 13836659	chr19: 13839138-13839317(score=310)	Regulation	SRX100430	level 1	Blood	H.sapiens
HEY1	chr19: 13842918	chr19: 13842853-13842957(score=464)	Regulation	SRX100493	level 2	Liver	H.sapiens
HIF1A	chr19: 13836659	chr19: 13840546-13840744(score=822)	Regulation(feedback)	SRX666556	level 1	Breast	H.sapiens
HIF1A	_	_	Activation(feedback)	24517586	literature	_	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13835797-13836017(score=728)	Regulation	SRX1304579	level 1	Blood	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13835823-13836007(score=482)	Regulation	SRX763970	level 1	Blood	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13835825-13835993(score=625)	Regulation	SRX1304576	level 1	Blood	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13836941-13837144(score=582)	Regulation	SRX1304579	level 1	Blood	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13836944-13837115(score=480)	Regulation	SRX763970	level 1	Blood	H.sapiens
JMJD1C	chr19: 13836659	chr19: 13836950-13837110(score=517)	Regulation	SRX1304576	level 1	Blood	H.sapiens
JUN	chr19: 13836659	chr19: 13836907-13837121(score=651)	Regulation	SRX883584	level 1	Breast	H.sapiens
JUN	chr19: 13836659	chr19: 13836909-13837184(score=595)	Regulation	SRX883585	level 1	Breast	H.sapiens
JUN	chr19: 13836659	chr19: 13840488-13840775(score=713)	Regulation	SRX883585	level 1	Breast	H.sapiens
JUN	chr19: 13836659	chr19: 13840502-13840769(score=966)	Regulation	SRX883584	level 1	Breast	H.sapiens
JUN	chr19: 13836659	chr19: 13836927-13837156(score=795)	Regulation	SRX2355072	level 1	Cardiovascular	H.sapiens
JUN	chr19: 13836659	chr19: 13836945-13837166(score=1000)	Regulation	SRX2355073	level 1	Cardiovascular	H.sapiens
JUN	chr19: 13836659	chr19: 13836958-13837114(score=585)	Regulation	SRX150358	level 1	Cardiovascular	H.sapiens
JUN	_	_	Activation	23929433	literature	_	H.sapiens
JUND	chr19: 13836659	chr19: 13840550-13840740(score=748)	Regulation	SRX190303	level 1	Digestive tract	H.sapiens
KAT7	chr19: 13836659	chr19: 13841155-13841411(score=356)	Regulation	SRX101303	level 1	Digestive tract	H.sapiens
KDM1A	chr19: 13836659	chr19: 13837234-13837366(score=373)	Regulation	SRX1133787	level 1	Blood	H.sapiens
KDM1A	chr19: 13836659	chr19: 13837237-13837373(score=335)	Regulation	SRX1133786	level 1	Blood	H.sapiens
KDM5B	chr19: 13836659	chr19: 13839654-13839790(score=303)	Regulation(feedback)	SRX265430	level 1	Breast	H.sapiens
KDM5B	chr19: 13836659	chr19: 13839697-13839810(score=385)	Regulation(feedback)	SRX265420	level 1	Breast	H.sapiens
KLF1	chr19: 13836659	chr19: 13840555-13840694(score=586)	Regulation	SRX218419	level 1	Blood	H.sapiens
KLF3	_	_	Repression(feedback)	23918807	literature	_	H.sapiens
KLF5	chr19: 13836659	chr19: 13840432-13840726(score=406)	Regulation(feedback)	SRX360575	level 1	Digestive tract	H.sapiens
KMT2A	_	_	Activation	24824656	literature	_	H.sapiens
LARP7	chr19: 13836659	chr19: 13840493-13840772(score=514)	Regulation	SRX2198835	level 1	Uterus	H.sapiens
LMO2	chr19: 13836659	chr19: 13835834-13836067(score=681)	Regulation	SRX698186	level 1	Blood	H.sapiens
LMO2	chr19: 13836659	chr19: 13836955-13837158(score=702)	Regulation	SRX698186	level 1	Blood	H.sapiens
LMO3	chr19: 13836659	chr19: 13835837-13836041(score=537)	Regulation	SRX698187	level 1	Blood	H.sapiens
LMO3	chr19: 13836659	chr19: 13836965-13837144(score=528)	Regulation	SRX698187	level 1	Blood	H.sapiens
LYL1	chr19: 13836659	chr19: 13835810-13836072(score=824)	Regulation	SRX1514281	level 1	Blood	H.sapiens
LYL1	chr19: 13836659	chr19: 13835844-13836045(score=582)	Regulation	SRX1304574	level 1	Blood	H.sapiens
LYL1	chr19: 13836659	chr19: 13836911-13837193(score=1000)	Regulation	SRX1514281	level 1	Blood	H.sapiens
MAF	chr19: 13842918	chr19: 13842872-13842941(score=329)	Regulation	SRX386479	level 2	Epidermis	H.sapiens
MAFK	chr19: 13836659	chr19: 13839112-13839247(score=437)	Regulation	SRX150391	level 1	Blood	H.sapiens
MAX	chr19: 13836659	chr19: 13840562-13840775(score=574)	Regulation	SRX190360	level 1	Digestive tract	H.sapiens
MAX	chr19: 13836659	chr19: 13841391-13841613(score=305)	Regulation	SRX129085	level 1	Neural	H.sapiens
MAZ	chr19: 13842918	chr19: 13842903-13843007(score=359)	Regulation	SRX186618	level 2	Lung	H.sapiens
MED1	chr19: 13836659	chr19: 13839076-13839329(score=575)	Regulation	SRX813769	level 1	Adipocyte	H.sapiens
MED1	chr19: 13836659	chr19: 13839706-13839940(score=429)	Regulation	SRX813769	level 1	Adipocyte	H.sapiens
MED1	chr19: 13836659	chr19: 13836722-13837231(score=849)	Regulation	SRX1873451	level 1	Blood	H.sapiens
MED12	chr19: 13836659	chr19: 13835827-13835979(score=522)	Regulation	SRX1477666	level 1	Blood	H.sapiens
MEF2A	chr19: 13836659	chr19: 13840003-13840145(score=535)	Regulation	SRX190290	level 1	Neural	H.sapiens
MEF2A	_	_	Activation	26870816	literature	_	H.sapiens
MEN1	_	_	Activation	24824656	literature	_	H.sapiens
MYC	chr19: 13836659	chr19: 13839114-13839238(score=315)	Regulation	SRX150627	level 1	Blood	H.sapiens
MYC	chr19: 13836659	chr19: 13840567-13840699(score=407)	Regulation	SRX250091	level 1	Breast	H.sapiens
